Telugu,English
వైద్యుడు,Doctor
ఉన్నత విద్యావంతుడు,Highly educated
పదునైన,Sharp
పదార్ధం,Substance
వాతావరణం,Weather
కదిలించు,Stir
ముస్లిం,Muslim
ప్రకరణము,Passage
మిరియాలు,Pepper
నొక్కిచెప్పండి,Emphasize
కేబుల్,Cable
చతురస్రం,Square
వంటకం,Recipe
లోడ్,Load
పక్కన,Beside
పైకప్పు,Roof
కూరగాయల,Vegetable
సాధిస్తారు,Will achieve
మౌనంగా,Silently
అలవాటు,Habit
ఆవిష్కరణ,Innovation
మొత్తం,Total
రికవరీ,Recovery
dna,DNA
లాభం,Profit
భూభాగం,Territory
ప్రియురాలు,Sweetheart
కలిగి ఉంటాయి,Have
నేరుగా,Directly
తప్పకుండా,Of course
రుజువు,Proof
నాడీ,Nervous
వెంటనే,Immediately
పార్కింగ్,Parking
పాపం,Sin
అసాధారణమైన,Unusual
బియ్యం,Rice
ఇంజనీరింగ్,Engineering
ముందుకు,Forward
ఇంటర్వ్యూ,Interview
పాతిపెట్టు,Bury
ఇప్పటికీ,Still
కేక్,Cake
అజ్ఞాత,Anonymous
జెండా,Flag
సమకాలీన,Contemporary
మంచిది,Good
జైలు,Prison
గ్రామీణ,Rural
మ్యాచ్,Match
రైలు పెట్టె,Train carriage
వివరణ,Description
వేతనం,Salary
అల్పాహారం,Breakfast
తీవ్రమైన,Serious
ప్రొఫైల్,Profile
పొదుపు,Savings
క్లుప్తంగా,In short
సర్దుబాటు,Adjustment
తగ్గింపు,Discount
నిరంతరం,Constantly
సహాయం,Help
బిచ్,Bitch
స్థిరమైన,Stable
అనుమతి,Permission
ప్రధానంగా,Mainly
వినోదం,Entertainment
అరవడం,Shouting
అకాడమీ,Academy
టీస్పూన్,Teaspoon
కల,Dream
బదిలీ,Transfer
సాధారణ,Simple
మిత్ర,Friend
వైద్యసంబంధమైన,Medical
లెక్కించు,Calculate
ప్రమాణం,Standard
అవెన్యూ,Avenue
పూజారి,Priest
ఉపాధి,Employment
వ్యర్థం,Waste
విశ్రాంతి తీసుకోండి,Relax.
రుణపడి,In debt
రూపాంతరము,Metamorphosis
గడ్డి,Grass
ఇరుకైన,Narrow
జాతి,Race
పండితుడు,Scholar
ఎడిషన్,Edition
విడిచిపెట్టు,Leave
ఆచరణాత్మకమైనది,Practical
సంక్రమణ,Infection
సంగీతపరమైన,Musical
సూచన,Reference
ప్రతిఘటన,Resistance
పొగ,Smoke
యువరాజు,Prince
రోగము,Disease
కౌగిలించుకుంటారు,Hugs
వాణిజ్యం,Trade
రిపబ్లిక్,Republic
స్వచ్ఛందంగా,Voluntarily
లక్ష్యం,Goal
సాధారణ,Simple
మూల్యాంకనం,Evaluation
నాది,Mine
ఎదురుగా,Opposite
అద్భుతం,Miracle
మారండి,Switch
నలుపు,Black
ఇరాకీ,Iraqi
ఇనుము,Iron
గ్రహిస్తారు,Understand
ప్రాథమిక,Basic
పదబంధం,Phrase
ఊహ,Imagination
ఇసుక,Sand
రూపకర్త,Designer
ప్రణాళిక,Plan
దారితీసింది,Led
మోడ్,Mode
ట్రాక్,Track
గౌరవం,Respect
విస్తృతంగా,Widely
సందర్భం,Context
భంగిమలో,In the pose
సుమారు,Approximately
పదవీ విరమణ,Retirement
మరెక్కడా,Elsewhere
పండుగ,Festival
టోపీ,Hat
సురక్షితమైన,Safe
అటాచ్ చేయండి,Attach
యంత్రాంగం,Mechanism
ఉద్దేశం,Intention
దృష్టాంతంలో,In the scenario
అరుస్తారు,They shout.
అపురూపమైన,Incredible
స్పానిష్,Spanish
గట్టిగా,Strongly
జాతి,Race
రవాణా,Transportation
కుండ,Pot
ప్రియుడు,Boyfriend
పరిశీలన,Observation
ముందు,Before
పదవీ విరమణ,Retirement
అరుదుగా,Rarely
ఉమ్మడి,Joint
సందేహం,Doubt
సంరక్షించు,Preserve
అపారమైన,Enormous
సిగరెట్,Cigarette
కర్మాగారం,Factory
విలువైన,Valuable
క్లిప్,Clip
విద్యుత్,Electricity
దిగ్గజం,Giant
బానిస,Slave
సమర్పించండి,Submit
సమర్థవంతంగా,Effectively
క్రైస్తవుడు,Christian
మానిటర్,Monitor
ఆశ్చర్యం,Surprise
పరిష్కరించండి,Solve
మిగిలి ఉంది,Remaining
పాల్గొనడం,Participation
ప్రవాహం,Flow
విమోచనం,Redemption
మూలం,Source
యుక్తవయస్సు,Puberty
ప్రత్యేకంగా,Especially
కాంగ్రెస్,Congress
కట్టు,Bandage
కోటు,Coat
టవర్,Tower
లైసెన్స్,License
ట్విట్టర్,Twitter
విధిస్తాయి,impose
అమాయక,Innocent
పాఠ్యప్రణాళిక,Curriculum
మెయిల్,Mail
అంచనా,Estimate
అంతర్దృష్టి,Insight
పరిశోధకుడు,Researcher
వైరస్,Virus
హరికేన్,Hurricane
ఖచ్చితమైన,Accurate
నియమం,Rule
సమ్మె,Strike
సంభాషించండి,Communicate
క్రాస్,Cross
మారుతూ ఉంటాయి,Varies
జాకెట్,Jacket
పెరుగుతున్నాయి,Growing
ఆకుపచ్చ,Green
సమానంగా,Equally
చెల్లించాలి,Pay
లో,In
కాంతి,Light
తాత్పర్యం,Meaning
ఫిక్షన్,Fiction
నిరసన,Protest
అమ్మ,Mom
సూచిస్తుంది,Indicates
జంట,Couple
ప్యాంటు,Pants
మరొకటి,Another one
ముందుకు,Forward
వంచు,Bend
షాక్,Shock
వ్యాయామం,Exercise
ప్రమాణాలు,Standards
అరబ్,Arab
మురికి,Dirty
రింగ్,Ring
బొమ్మ,Doll
సంభావ్యంగా,Potentially
దాడి,Attack
శిఖరం,Peak
కోపం,Anger
బూట్,Boot
నాటకీయమైన,Dramatic
తోటివాడు,Fellow
మెరుగుపరుస్తాయి,Improve
గణితం,Mathematics
స్లయిడ్,Slide
అనుకూలంగా,In favor
గులాబీ రంగు,Pink color
దుమ్ము,Dust
అత్త,Aunt
కోల్పోయిన,Lost
అవకాశం,Opportunity
మానసిక స్థితి,Mood
mm-hmm,mm-hmm
పరిష్కారం,Solution
కాకుండా,Apart from
న్యాయంచేయటానికి,To do justice
లోతు,Depth
రసం,Juice
అధికారిక,Official
వాస్తవంగా,Actually
గ్యాలరీ,Gallery
ఉద్రిక్తత,Tension
గొంతు,Throat
డ్రాఫ్ట్,Draft
కీర్తి,Fame
సూచిక,Index
సాధారణంగా,Usually
గజిబిజి,Mess
ఆనందం,Happiness
ఉక్కు,Steel
మోటార్,Motor
సంస్థ,Organization
జీతం,Salary
పైగా,Over
దిగ్గజం,Giant
బంధువు,Relative
సాధారణ,Simple
ఉన్నత విద్యావంతుడు,Highly educated
డజను,Dozen
పరిణామం,Evolution
అని పిలవబడే,The so-called
సహాయకారిగా,Helpful
పోటీ,Competition
సుందరమైన,Beautiful
చేపలు పట్టడం,Fishing
ఆందోళన,Anxiety
వృత్తిపరమైన,Professional
కార్బన్,Carbon
వ్యాసం,Article
ఇస్లామిక్,Islamic
గౌరవం,Respect
నాటకం,Drama
బేసి,Odd
చెడు,Bad
అపరిచితుడు,Stranger
బెల్ట్,Belt
కోరండి,Request
టాసు,Toss
ఐదవ,Fifth
సూత్రం,Principle
బంగాళదుంప,Potato
రాక్షసుడు,Monster
పొగ,Smoke
టెలిఫోన్,Telephone
అత్యాచారం,Rape
అరచేతి,Palm
జెట్,Jet
నౌకాదళం,Navy
ఉత్సాహంగా,Excitedly
ప్లాట్లు,Plot
కోణం,Angle
విమర్శించండి,Criticize
ఖైదీ,Prisoner
క్రమశిక్షణ,Discipline
చర్చలు,Discussions
తిట్టు,Damn it.
వెన్న,Butter
ఎడారి,Desert
సంక్లిష్టమైనది,Complicated
బహుమతి,Gift
అంధుడు,Blind man
కేటాయించవచ్చు,Can be assigned
బుల్లెట్,Bullet
అవగాహన,Awareness
క్రమం,Order
వర్ణించేందుకు,To describe
డ్రాప్,Drop
ప్యాక్,Pack
ప్రొవైడర్,Provider
ఫకింగ్,Fucking
మైనర్,Minor
కార్యకర్త,Worker
పద్యం,Poem
సెలవు,Holiday
బరువు,Weight
ముఠా,Gang
గోప్యత,Privacy
గడియారం,Clock
ఏర్పాట్లు,Arrangements
పెనాల్టీ,Penalty
కడుపు,Stomach
కచేరీ,Concert
అసలైన,Original
గణాంకాలు,Statistics
ఎలక్ట్రానిక్,Electronic
సరిగ్గా,Exactly
బ్యూరో,Bureau
తోడేలు,Wolf
మరియు/లేదా,and/or
క్లాసిక్,Classic
సిఫార్సు,Recommendation
ఉత్తేజకరమైన,Exciting
మేకర్,Maker
ప్రియమైన,Dear
ముద్ర,Seal
విరిగిపోయింది,Broken
బ్యాటరీ,Battery
కథనం,Story
ప్రక్రియ,Process
తలెత్తుతాయి,arise
చిన్నపిల్ల,Little boy
కొరకు,For
డెలివరీ,Delivery
క్షమించు,Forgive me.
కనిపించే,Visible
భారీగా,Heavy
జూనియర్,Junior
ప్రతినిధి,Representative
వైవిధ్యం,Diversity
స్ట్రింగ్,String
దావా,Claim
తరువాతి,Next
అందమైన,Beautiful
డిప్యూటీ,Deputy
పునరుద్ధరించు,Restore
మిత్రుడు,Friend
మానసిక,Mental
కాకుండా,Apart from
తీవ్రమైన,Serious
స్నేహపూర్వక,Friendly
చెడు,Bad
వీధి,Street
ఆకలితో,Hungry
బీన్,Bean
సాస్,Sauce
ముద్రణ,Printing
ఆధిపత్యం,Domination
పరీక్ష,Test
ఉపాయం,Trick
ఫాంటసీ,Fantasy
లేకపోవడం,Absence
ప్రమాదకర,Dangerous
చిహ్నం,Icon
గుర్తింపు,Identification
గుర్తించడం,Identifying
టేబుల్ స్పూన్,Tablespoon
నిర్మించు,Build
హ్మ్,Hmm
అరెస్టు,Arrest
ఆమోదం,Approval
సహాయాలు,Aids
అయితే,However
రక్షణాత్మకమైన,Protective
స్వాతంత్ర్యం,Independence
క్షమాపణ చెప్పండి,Apologize.
టాప్,Top
ఆసియా,Asia
పెరిగింది,Increased
దెయ్యం,Ghost
ప్రమేయం,Involvement
శాశ్వత,Permanent
తీగ,Wire
గుసగుసలు,Whispers
మౌస్,Mouse
విమానయాన సంస్థ,Airline
స్థాపకుడు,Founder
లక్ష్యం,Goal
ఎక్కడా లేదు,Nowhere
ప్రత్యామ్నాయం,Alternative
దృగ్విషయం,Phenomenon
పరిణామం చెందుతాయి,Evolve
కాదు,No
ఖచ్చితమైన,Accurate
వెండి,Silver
సెంటు,Cent
సార్వత్రిక,Universal
యువకుడు,Young man
కీలకమైన,Crucial
వీక్షకుడు,Viewer
షెడ్యూల్,Schedule
హాస్యాస్పదంగా,Ironically
చాక్లెట్,Chocolate
సున్నితమైన,Sensitive
దిగువన,At the bottom
అమ్మమ్మ,Grandma
క్షిపణి,Missile
సుమారుగా,Approximately
రాజ్యాంగబద్ధమైనది,Constitutional
సాహసం,Adventure
జన్యుపరమైన,Genetic
ముందుకు,Forward
సంబంధించిన,Related
స్వింగ్,Swing
అంతిమ,Final
తయారీదారు,Manufacturer
తెలియని,Unknown
తుడవడం,Wiping
పంట,Crop
మనుగడ,Survival
లైన్,Line
పరిమాణం,Size
ప్రతిఘటించండి,Resist
అభ్యర్థన,Request
రోల్,Roll
ఆకారం,Shape
చీకటి,Darkness
హామీ,Guarantee
చారిత్రాత్మకమైనది,Historic
విద్యావేత్త,Educator
కఠినమైన,Tough
సిబ్బంది,Staff
జాతి,Race
అదుపుచేయలేని,Uncontrollable
తీవ్రవాది,Terrorist
రాజ సంబంధమైన,Royal
ఉన్నతవర్గం,Elite
ఆక్రమిస్తాయి,Occupy
ఉద్ఘాటన,Emphasis
తడి,Wet
విధ్వంసం,Destruction
ముడి,Raw
లోపలి,Inside
కొనసాగండి,Continue
ఉల్లంఘించండి,Violate
చార్ట్,Chart
వేగం,Speed
ఫైనాన్స్,Finance
ఛాంపియన్,Champion
స్నాప్,Snap
అనుమానితుడు,Suspect
సలహా ఇవ్వండి,Give advice
ప్రారంభంలో,At the beginning
ఆధునిక,Modern
అసంభవం,Impossibility
అడ్డంకి,Obstacle
న్యాయవాది,Lawyer
లేబుల్,Label
యాక్సెస్,Access
భయంకరమైన,Terrible
భారం,Burden
ఉల్లంఘన,Violation
కాకుండా,Apart from
వెధవ,Widow
జీవితకాలం,Lifetime
పని చేస్తున్నారు,Working
నిధి,Treasure
కొనసాగుతున్న,Ongoing
స్పందించలేదు,Not responding
రొటీన్,Routine
ప్రదర్శన,Display
సరఫరా,Supply
గేర్,Gear
ఫోటో,Photo
మెక్సికన్,Mexican
స్టేడియం,Stadium
అనువదించు,Translate
తాకట్టు,Pledge
షెరీఫ్,Sheriff
క్లినిక్,Clinic
స్పిన్,Spin
సంకీర్ణ,Coalition
సహజంగా,Naturally
ఆశాజనకంగా,Hopefully
కలపాలి,Mix
మెను,Menu
మృదువైన,Soft
ప్రకటనలు,Advertisements
అన్వయించు,Apply
మొక్క,Plant
రద్దుచేసే,Cancelling
ముస్లిం,Muslim
స్పష్టమైన,Clear
అమరిక,Arrangement
పొందుపరచండి,Embed
విడిపోయింది,Separated
తెలివైన,Intelligent
నిల్వ,Storage
ఫ్రేమ్వర్క్,Framework
నిజాయితీగా,Honestly
వెంబడించు,Follow
నిట్టూర్పు,Sigh
భరోసా,Assurance
వినియోగ,Usage
రుచి,Taste
దూకుడు,Aggression
కుకీ,Cookie
భీభత్సం,Terror
ఉచిత,Free
విలువ,Value
సంపన్నుడు,Rich man
నవీకరణ,Update
ఫోరమ్,Forum
కూటమి,Alliance
కలిగి ఉంటాయి,Have
సామ్రాజ్యం,Empire
ఆసక్తిగా,Curious
మొక్కజొన్న,Corn
ఏదీ కాదు,None
లెక్కించు,Calculate
అత్యవసరము,Urgent
సాక్ష్యం,Evidence
ప్రాథమిక,Basic
బదిలీ,Transfer
వాటాను,Share
ఖచ్చితంగా,Sure
కొరుకు,Bite
ఇచ్చిన,Given
గణనీయమైన,Substantial
ఆధారపడి,Dependent
చూపు,Show
కణజాలం,Tissue
ఏకాగ్రత,Concentration
డెవలపర్,Developer
కనుగొన్నారు,Found
బ్యాలెట్,Ballet
తినేస్తాయి,They eat.
అధిగమించటం,Overcoming
జీవసంబంధమైన,Biological
గది,Room
అదేవిధంగా,Similarly
కర్ర,Stick
ధైర్యం,Courage
అభివృద్ధి చెందుతున్న,Developing
పులి,Tiger
నిష్పత్తి,Ratio
ప్రేమికుడు,Lover
విస్తరణ,Expansion
ఎన్కౌంటర్,Encounter
అప్పుడప్పుడు,Occasionally
నిరుద్యోగం,Unemployment
పెంపుడు జంతువు,Pet
భయంకరం,Terrible
ప్రయోగశాల,Laboratory
నిర్వాహకుడు,Administrator
గాలి,Wind
క్వార్టర్ బ్యాక్,Quarterback
రాకెట్,Rocket
తయారీ,Preparation
బంధువు,Relative
ఆత్మవిశ్వాసం,Self-confidence
వ్యూహాత్మకమైన,Strategic
సముద్ర,Sea
కోట్,Quote
ప్రచురణకర్త,Publisher
ఆవిష్కరణ,Innovation
హైలైట్,Highlight
గింజ,Nut
యుద్ధ,War
ర్యాంక్,Rank
విద్యుత్,Electricity
ఉదాహరణ,Example
అదృష్టం,Good luck
ఫ్రీజ్,Freeze
వైవిధ్యం,Diversity
సాయుధ,Armed
చర్చలు,Discussions
నవ్వు,Laughter
జ్ఞానం,Knowledge
కరస్పాండెంట్,Correspondent
మిశ్రమం,Mixture
హత్య,Murder
సహాయకుడు,Assistant
నిలుపుకుంటారు,Will retain
టమోటా,Tomato
భారతీయుడు,Indian
సాక్ష్యం చెప్పండి,Bear witness.
మూలవస్తువుగా,As an ingredient
నుండి,From
గెలాక్సీ,Galaxy
అర్హత,Eligibility
పథకం,Scheme
గోప్,Gop
అవమానం,Humiliation
ఏకాగ్రత,Concentration
పోటీ,Competition
పరిచయం,Introduction
సరిహద్దు,Border
గొట్టం,Pipe
వర్సెస్,Versus
చెఫ్,Chef
క్రమం తప్పకుండా,Regularly
అందములేని,Unsightly
స్క్రూ,Screw
లోడ్,Load
నాలుక,Tongue
పాలస్తీనియన్,Palestinian
ఆర్థిక,Finance
క్రీక్,Creek
తుంటి,Hip
తోడు,Companion
తగ్గుదల,Decrease
తీవ్రవాదం,Terrorism
ప్రతివాది,Defendant
వ్యాఖ్యాత,Commentator
ఓటింగ్,Voting
శరణార్థ,Refugee
అసెంబ్లీ,Assembly
మోసం,Fraud
పరిమితి,Limit
ఇల్లు,House
భాగస్వామ్యం,Share
స్టోర్,Store
క్రాష్,Crash
ఆశ్చర్యం,Surprise
ప్రాతినిథ్యం,Representation
పట్టుకోండి,Hold on.
మంత్రిత్వ శాఖ,Ministry
ఫ్లాట్,Flat
తెలివైన,Intelligent
సాక్షి,Witness
మన్నించు,Forgive me.
నమోదు,Registration
హాస్యం,Humor
కొనుగోలు,Purchase
నొక్కండి,Press
మౌలిక సదుపాయాలు,Infrastructure
సేంద్రీయ,Organic
ఇస్లాం,Islam
విభిన్న,Different
అనుకూలంగా,In favor
మేధావి,Genius
బిగుతుగా,Tightly
ఓడరేవు,Port
విధి,Fate
సంత,Market
సంపూర్ణ,Perfect
సంభాషణ,Conversation
అదనంగా,Additionally
తరచుదనం,Frequency
తెగ,Tribe
బాహ్య,Exterior
నియామకం,Appointment
మార్చు,Change
ఆశ్చర్యకరం,Amazing
మొబైల్,Mobile
స్థాపన,Establishment
ఆందోళన చెందారు,Worried
బై,Bye
షాపింగ్,Shopping
ప్రముఖ,Popular
కాంగ్రెస్ వాది,Congressman
ఆకట్టుకుంటారు,Impressive
పన్ను చెల్లింపుదారు,Taxpayer
స్వీకరించు,Receive
బహిరంగంగా,Publicly
అహంకారం,Pride
దుస్తులు,Clothing
వేగంగా,Fast
డొమైన్,Domain
ప్రధానంగా,Mainly
పైకప్పు,Roof
మార్చు,Change
ఆశ్రయం,Shelter
యాదృచ్ఛికంగా,Randomly
బాధ్యత,Responsibility
షవర్,Shower
వేడుకుంటాడు,He begs.
నిద్రపోతున్నాను,Sleeping.
సంగీతకారుడు,Musician
అసాధారణ,Unusual
దుమ్ము,Dust
pc,pc
గంట,Hour
వాసన,Smell
నష్టం,Loss
వేడుక,Ceremony
క్లూ,Clue
మార్గదర్శకం,Guide
సౌకర్యం,Facility
సమీపంలో,Nearby
గర్భం,Pregnancy
అప్పు తీసుకుంటారు,Borrowing
సంప్రదాయ,Traditional
పర్యాటక,Tourism
ప్రోత్సాహకం,Incentive
ఆచారం,Ritual
చెంప,Cheek
టోర్నమెంట్,Tournament
రెట్టింపు,Double
ఉపగ్రహ,Satellite
సమీపంలో,Nearby
సమగ్రమైన,Comprehensive
స్థిరమైన,Stable
మందులు,Medications
స్క్రిప్ట్,Script
చదువు,Education
సమర్థవంతమైన,Efficient
ప్రమాదం,Danger
స్వాగతం,Welcome
భయ పెట్టు,Scare
మనస్తత్వశాస్త్రం,Psychology
తర్కం,Logic
ఆర్థికశాస్త్రం,Economics
నవీకరణ,Update
అయినప్పటికీ,Although
దెయ్యం,Ghost
ముప్పై,Thirty
కొట్టారు,Beaten
దాతృత్వం,Charity
ఫైబర్,Fiber
అల,Wave
ఆదర్శవంతమైనది,Ideal
స్నేహం,Friendship
నికర,Net
ప్రేరణ,Motivation
భిన్నంగా,Differently
రిజర్వ్,Reserve
పరిశీలకుడు,Observer
మానవత్వం,Humanity
ప్రాణాలతో బయటపడింది,Survived
కంచె,Fence
నిశ్శబ్దంగా,Quietly
హాస్యం,Humor
ప్రధాన,Main
అంత్యక్రియలు,Funeral
ప్రతినిధి,Representative
పొడిగింపు,Extension
వదులుగా,Loosely
మునిగిపోతుంది,Sinking
చరిత్రకారుడు,Historian
నాశనము,Destruction
సంతులనం,Balance
రసాయన,Chemical
గాయకుడు,Singer
తాగిన,Drunk
ఈత కొట్టండి,Swim.
ఉల్లిపాయ,Onion
నిపుణుడు,Expert
లేదు,No
తెలుపు,White
పాన్,Pan
పంపిణీ,Distribution
వెర్రి,Crazy
డెక్,Deck
ప్రతిబింబం,Reflection
త్వరలో,Soon
డేటాబేస్,Database
ప్రవాహం,Flow
రిమోట్,Remote
అనుమతి,Permission
విశేషమైనది,Remarkable
ప్రతి రోజు,Every day
జీవనశైలి,Lifestyle
స్వీప్,Sweep
నగ్నంగా,Naked
తగినంత,Enough
సింహం,Lion
వినియోగం,Usage
సామర్ధ్యం,Ability
సాధన,Practice
ఉద్గారము,Emission
సైడ్‌బార్,Sidebar
చెత్త,Garbage
డీలర్,Dealer
కొలత,Measurement
ప్రాణాధారమైన,Vital
ఆకట్టుకునే,Impressive
కాల్చండి,Bake
అద్భుతమైన,Excellent
సలహాదారు,Advisor
దిగుబడి,Yield
కేవలం,Just
ఊహ,Imagination
రాడికల్,Radical
విషాదం,Tragedy
భయానకంగా,Scary
సలహాదారు,Advisor
సరైన,Correct
లెఫ్టినెంట్,Lieutenant
కలత,Upset
ఆకర్షణీయమైన,Attractive
ఎకరం,Acre
డ్రాయింగ్,Drawing
ఓటమి,Defeat
కొత్తగా,Newly
కుంభకోణం,Scandal
రాయబారి,Ambassador
ఓహ్,Oh
స్పాట్,Spot
విషయము,Content
గుండ్రంగా,Round
బెంచ్,Bench
మార్గదర్శకుడు,Pioneer
కౌంటర్,Counter
రసాయన,Chemical
అసమానత,Inequality
ఎలుక,Mouse
భయానక,Horror
విజ్ఞప్తి,Appeal
దుర్బలమైన,Vulnerable
నివారణ,Prevention
చతురస్రం,Square
సెగ్మెంట్,Segment
నిషేధించండి,Ban
తోక,Tail
ఏర్పాటు,Arrangement
చెడుగా,Badly
అనుగ్రహించు,Bless
సాహిత్యపరమైన,Literary
మంత్రము,Mantra
అమలు,Execution
చట్టబద్ధమైనది,Legal
స్వల్ప,Minor
క్రాష్,Crash
స్ట్రిప్,Strip
తీరని,Desperate
దూరమైన,Distant
ప్రాధాన్యత,Priority
రాజకీయంగా,Politically
అభిప్రాయం,Feedback
ఆరోగ్య సంరక్షణ,Healthcare
నేరస్థుడు,Criminal
చెయ్యవచ్చు,Can
ఇటాలియన్,Italian
వివరంగా,In detail
కొనుగోలుదారు,Buyer
తప్పు,Wrong
సహకారం,Collaboration
వృత్తి,Career
నమ్మశక్యం కాని విధంగా,Unbelievably
నారింజ,Orange
చంపడం,Killing
దావా వేయండి,File a claim.
ఫోటోగ్రాఫర్,Photographer
నడుస్తోంది,Running
నిశ్చితార్థం,Engagement
తేడా,Difference
పెయింట్,Paint
పిచ్,Pitch
విస్తృతమైన,Extensive
సలాడ్,Salad
మెట్లు,Stairs
నోటీసు,Notice
దయ,Kindness
విడాకులు,Divorce
ఓడ,Ship
పంది,Pig
అప్పగింత,Assignment
భేదం,Difference
సరిపోయింది,Enough.
సర్క్యూట్,Circuit
ఆమ్లము,Acid
కెనడియన్,Canadian
పారిపోవలసి,To flee
సమర్థత,Efficiency
స్మారక చిహ్నం,Monument
ప్రతిపాదించారు,Proposed
నీలం,Blue
అస్తిత్వం,Existence
iphone,iPhone
శిక్ష,Punishment
విరామం,Break
మాత్ర,Pill
రుద్దు,Rub
శృంగార,Romantic
పురాణం,Legend
ఆర్థికవేత్త,Economist
లాటిన్,Latin
మంచి,Good
సహాయకుడు,Assistant
క్రాఫ్ట్,Craft
కవిత్వం,Poetry
తీవ్రవాది,Terrorist
దారం,Thread
చెక్క,Wood
గందరగోళం,Confusion
విషయం,Subject
విశేషాధికారం,Privilege
బొగ్గు,Coal
అవివేకి,Foolish
ఆవు,Cow
వర్ణించు,Describe
పై,On top
తగ్గుదల,Decrease
రిసార్ట్,Resort
వారసత్వం,Inheritance
తిరిగి,Back
ఒత్తిడి,Stress
స్పష్టముగా,Frankly
విషయం,Subject
రద్దు చేయండి,Cancel
ఉత్పన్నం,Derivative
మూగ,Dumb
పరిధిని,Scope
ఏర్పాటు,Arrangement
తాతయ్య,Grandfather
అందుకే,That's why
కోరిక,Desire
మార్జిన్,Margin
గాయం,Injury
ప్రదర్శన,Display
శాసనసభ,Legislative Assembly
ఇంకా,And more
చిత్తరువు,Portrait
కాథలిక్,Catholic
నిలబెట్టుకుంటారు,They will sustain
ఏకరీతి,Uniform
బాధాకరమైన,Painful
బిగ్గరగా,Loudly
అద్భుతం,Miracle
హాని,Harm
సున్నా,Zero
వ్యూహం,Strategy
ముసుగు,Mask
ప్రశాంతత,Calmness
ద్రవ్యోల్బణం,Inflation
వేటాడు,Hunting
భౌతికంగా,Physically
చివరి,Last
మాంసం,Meat
తాత్కాలిక,Temporary
తోటి,Fellow
నరము,Nerve
ఊపిరితిత్తుల,Lungs
స్థిరమైన,Stable
శీర్షిక,Title
ఆకస్మికంగా,Suddenly
విజయవంతంగా,Successfully
ప్రతివాది,Defendant
పోల్,Poll
సంతృప్తి,Satisfaction
ప్రవేశ ద్వారం,Entrance door
విమానాల,Airplanes
ఉపసంహరించుకోండి,Withdraw
మంత్రివర్గం,Cabinet
బంధువు,Relative
పదేపదే,Repeatedly
ఆనందం,Happiness
ప్రవేశ o,Entrance o
సహసంబంధం,Correlation
నిష్పత్తి,Ratio
వివాదం,Controversy
మిఠాయి,Candy
బహుమతి,Gift
సలహాదారు,Advisor
రికార్డింగ్,Recording
కుప్ప,Heap
పేలుడు,Explosion
నియమిస్తారు,Appointed
మంచం,Bed
అభిజ్ఞా,Cognitive
ఫర్నిచర్,Furniture
ప్రాముఖ్యత,Importance
కృతజ్ఞతతో,With gratitude
మంత్రము,Mantra
దావా,Claim
కమీషనర్,Commissioner
షెల్ఫ్,Shelf
విపరీతమైన,Extreme
యోధుడు,Warrior
భౌతిక శాస్త్రం,Physics
గారేజ్,Garage
రుచి,Taste
పిండి వేయు,Squeeze
ప్రముఖ,Popular
యాభై,Fifty
వాడిపోవు,Wither
పొయ్యి,Oven
సంతృప్తి,Satisfaction
వివక్ష,Discrimination
మాంద్యం,Depression
ఆరోపణ,Accusation
బూమ్,Boom
వారానికోసారి,Weekly
ఇటీవల,Recently
పరిమితి,Limit
వజ్రం,Diamond
పత్రం,Document
పగుళ్లు,Cracks
నేరారోపణ,Criminal charge
మడమ,Heel
నకిలీ,Fake
కీర్తి,Fame
షైన్,Shine
స్వింగ్,Swing
ప్లేఆఫ్,Playoff
నటి,Actress
మోసం,Fraud
ఫార్మాట్,Format
వివాదం,Controversy
దానంతట అదే,That's it.
మంజూరు,Grant
కిరాణా,Groceries
ప్రధాన కార్యాలయం,Headquarters
చీల్చివేయు,Rip off
ర్యాంక్,Rank
నీడ,Shadow
నియంత్రిస్తాయి,Control
మీటర్,Meter
ఒలింపిక్,Olympic
పైపు,Pipe
రోగి,Patient
వేడుక,Ceremony
చేతినిండా,Handful
కాపీరైట్,Copyright
ఆధారపడిన,Dependent
సంతకం,Signature
బిషప్,Bishop
బలపరుస్తాయి,Strengthen
చారు,Soup
హక్కు,Right
ఎవరైనా,Someone
క్యారియర్,Carrier
వార్షికోత్సవం,Anniversary
పిజ్జా,Pizza
నీతిశాస్త్రం,Ethics
పురాణం,Legend
డేగ,Eagle
స్కాలర్షిప్,Scholarship
పగుళ్లు,Cracks
పరిశోధన,Research
సభ్యత్వం,Membership
నిలబడి,Standing
స్వాధీనం,Possession
సంధి,Treaty
పాక్షికంగా,Partially
తెలివిలో,In wisdom
తయారీ,Preparation
ప్రకటన,Advertisement
టైర్,Tire
సంఖ్య,Number
అలంకరణ,Decoration
పాప్,Pop
భవిష్య వాణి,Prophecy
స్థిరత్వం,Stability
జాడ కనుగొను,Trace
కట్టుబాటు,Norm
ఐరిష్,Irish
మేధావి,Genius
శాంతముగా,Gently
ఆపరేటర్,Operator
మాల్,Mall
పుకారు,Rumor
కవి,Poet
ధోరణి,Trend
తదుపరి,Next
పరాయి,Alien
పేలుడు,Explosion
చల్లని,Cold
వివాదాస్పదమైనది,Controversial
నిర్వహణ,Management
ధైర్యం,Courage
మించిపోతాయి,Exceed
బిగుతుగా,Tightly
ప్రిన్సిపాల్,Principal
